generation,fitness,distribution
31,"[0, 2, 1, 2, 2]","[0.17244358003974047, 0.2247830559458175, 0, 0, 1, 1, 0.8286905837544228, 0.44143774356711785, 0.9788809506463084, 0, 0.33749619417237775, 0.2238509798655992, 1, 1, 0.2626545322810425, 1, 0.4677956159518667, 0, 0.5142319912002802, 0.8962963134809808, 0, 0.46667673370154683, 0.8299467586292126, 0.9509241146777498, 0.5400491757179945, 0.4309325054347095]"
32,"[0, 1, 0, 2, 2]","[0.47401334699619835, 0.9936317104683399, 0, 0.16266759495913008, 0.9347952905708372, 1, 0.8611130201864283, 0.7928350232895788, 0.6121496909740021, 0.10404687924012279, 0.29174883566370924, 0.5778999593870376, 0.5198083084008909, 0.4575726206542232, 0.2876990811695237, 0.4441445875923292, 0.23126790656369822, 0, 0.4439494124436896, 0.9251380545266958, 0.3722194878862588, 0.1785519138438747, 0.07281154402598522, 0.9105491882834342, 0.960719377200234, 0.8592563008436261]"
33,"[2, 0, 2, 0, 0]","[0.6901202423208819, 0, 0, 0.32325315497638807, 0.7019138428101296, 0.4537378919434585, 1, 1, 0.6317015156322318, 0.32369314849069397, 0.7806684910788904, 0.6791412417271036, 1, 0, 0, 0.5128130106105525, 0.209321177820476, 0.8543694870630557, 0.31454042772414825, 0, 0, 0, 0, 1, 0.31019743956931134, 0.8113753957919805]"
34,"[2, 2, 0, 2, 1]","[0.34238223356164066, 0.9105046981333672, 0.6114255787801803, 0.17456175942136354, 1, 1, 0.940597332800536, 0, 0.7048310498504737, 1, 1, 0, 0.6246466006517154, 0.36268882416022374, 0.6946788324792788, 0.9656229822764179, 0.1008735952364177, 0, 0.6420059620285699, 0.5815477045287892, 0.710829060791551, 0.46667673370154683, 0.5078390680862845, 1, 0, 0.30118098761882484]"
35,"[0, 0, 2, 2, 2]","[0.7815469041890097, 1, 0, 0.4553024790663195, 0.9148998577315038, 0.8590384788049437, 0.543863547882552, 1, 0.9369283061418194, 1, 0.4141005526096109, 0.4442756419427435, 0.14732469280953564, 0.8929285149708949, 0, 0, 0.30771005415679953, 0.12956555396915448, 1, 0.11666549763735656, 0.5476471391377169, 0, 0, 0.5761056548688193, 0, 0.6952491912482548]"
36,"[2, 2, 0, 2, 0]","[0.34238223356164066, 1, 0.39119590578873187, 0.17456175942136354, 1, 1, 0.940597332800536, 0, 0.7048310498504737, 0.8105992821449525, 0.4546456801689712, 0, 0.6246466006517154, 0.36268882416022374, 0.8290809308085372, 0.9656229822764179, 0.07516298045473724, 0.9334246754197051, 0.4219980662959203, 0, 0, 0, 0, 1, 0.3526106616721014, 0.3210685820344178]"
37,"[0, 2, 0, 2, 2]","[0.6901202423208819, 0.1934734233383869, 0, 0.32325315497638807, 0.7019138428101296, 0.4537378919434585, 1, 1, 1, 0.4400335879406452, 0.5954552698471275, 1, 1, 0.972666769209324, 0.5123447623688485, 0.3445127689018008, 0.472477482198416, 0, 0.41358551328583715, 0.36830146621789495, 0.40422032049749423, 0, 0.03428038360751895, 0.5054375786015955, 0.732590284712126, 1]"
38,"[1, 2, 2, 2, 2]","[1, 0.8272476553443434, 0.4738479540992888, 0.6146590929069427, 0.5733550505346542, 0.8590384788049437, 0.6903068293625048, 0.9979948994166856, 0.9369283061418194, 0.4400335879406452, 0.718645408102038, 0.9469110275362809, 1, 0.972666769209324, 0.5123447623688485, 0.5218319445354923, 0.472477482198416, 0.4136398031810553, 0.1736981105536094, 0.36830146621789495, 0.40422032049749423, 0, 0.03428038360751895, 0.5054375786015955, 0.732590284712126, 0.8768549461760682]"
39,"[1, 2, 0, 0, 2]","[0.7104925981663269, 0.9271876086984676, 0.15412632096100543, 0.6029282790935786, 1, 0.841094836461401, 0.940597332800536, 0.08584657404539253, 0, 1, 1, 0.40261478650827576, 0.013536807637532733, 0.6761305353668163, 0.6473138866756226, 0.5690672842009538, 0.5589492890450477, 0.3744742372760448, 0.4439494124436896, 0.8103933741831157, 0.667324655106931, 0, 0, 0.30221699547381486, 0.6044224846936791, 1]"
40,"[0, 0, 2, 2, 2]","[0.26574450852804843, 0.9271876086984676, 0.3462729974923322, 0.16539729250749857, 0.9377092299799112, 1, 1, 0, 0, 1, 1, 0.40261478650827576, 0.013536807637532733, 0.6761305353668163, 0.6946788324792788, 1, 0.5278302408679066, 0, 0.5144485578560095, 0.5204432357001372, 0.8686810491884999, 0, 0.3210768861206835, 0.9594561682590466, 0.12062450001985969, 0.9200301789043089]"
